time,frame,distance_m,contact
1760322172.1581132,314,0.07273160875837417,0
1760322172.2228813,315,0.07273160875837417,0
1760322172.287634,316,0.07127788557147882,0
1760322172.7815237,324,0.06432495944935443,0
1760322172.8442793,325,0.06432495944935443,0
1760322173.7179947,338,0.051991824700743636,0
1760322173.7799075,339,0.05716882477273781,0
1760322173.8424501,340,0.04309961600924336,0
1760322173.9053967,341,0.0459630139872014,0
1760322173.9668748,342,0.0459630139872014,0
1760322174.027455,343,0.04327843281789421,0
1760322174.0892713,344,0.04141424372417959,0
1760322174.1500251,345,0.04582047558066627,0
1760322174.212024,346,0.04255657572131495,0
1760322174.2759829,347,0.05263488479451304,0
1760322174.3374467,348,0.05263488479451304,0
1760322174.526354,351,0.06388875102483371,0
1760322174.587372,352,0.06098615295974469,0
1760322174.6508214,353,0.05318793415185075,0
1760322174.7110226,354,0.05318793415185075,0
1760322174.777475,355,0.06306438371003195,0
1760322174.836637,356,0.06306438371003195,0
1760322178.2750561,411,0.06269029877602214,0
1760322178.9214,421,0.06855077323464875,0
1760322178.9772348,422,0.06855077323464875,0
1760322179.0389276,423,0.06855077323464875,0
1760322179.1619318,425,0.06062310573850696,0
1760322180.5633729,447,0.05711841795007601,0
1760322190.2451167,601,0.012825341122664341,0
1760322190.3083665,602,0.011844379089084832,0
1760322190.3714597,603,0.011844379089084832,0
1760322190.4343529,604,0.010284691801352087,0
1760322190.4960608,605,0.016743523746627624,0
1760322190.5613523,606,0.016743523746627624,0
1760322190.6211834,607,0.016743523746627624,0
1760322190.6827211,608,0.016743523746627624,0
1760322190.7442875,609,0.016743523746627624,0
1760322190.806922,610,0.016743523746627624,0
1760322190.8672025,611,0.017217000483160785,0
1760322190.9301393,612,0.013164226046270586,0
1760322190.9920466,613,0.012652570632608537,0
1760322191.052664,614,0.016743523746627624,0
1760322191.1163354,615,0.016743523746627624,0
1760322191.1758354,616,0.013164226046270586,0
1760322191.2387252,617,0.013164226046270586,0
1760322191.301116,618,0.013164226046270586,0
1760322191.3636482,619,0.013164226046270586,0
1760322191.4263394,620,0.010284691801352087,0
1760322191.486665,621,0.023312507410723056,0
1760322191.5494268,622,0.021943432728039024,0
1760322191.6117883,623,0.021943432728039024,0
1760322191.675189,624,0.014107444600550398,0
1760322191.7385638,625,0.014107444600550398,0
1760322191.8007321,626,0.019487816995417725,0
1760322192.6568332,639,0.006898636794766086,0
1760322192.7189236,640,0.0054950478753591075,0
1760322192.7815626,641,0.0054950478753591075,0
1760322192.84259,642,0.020445759167322868,0
1760322193.090852,646,0.002350899855073134,1
1760322193.2182508,648,0.007658421772795972,0
1760322193.278527,649,0.0026621617497329733,1
1760322193.3424597,650,0.0005539392505170618,1
1760322193.404053,651,0.0005539392505170618,1
1760322193.4658418,652,0.004023187221966748,1
1760322193.5283687,653,0.0007907374629914019,1
1760322193.6055562,654,0.0007082891441701003,1
1760322193.6702816,655,0.00015917626460833917,1
1760322193.7465906,656,0.0014711051187213386,1
1760322193.8080757,657,0.0014711051187213386,1
1760322193.871638,658,0.0002329094324120956,1
1760322193.9461477,659,0.0036747253581220843,1
1760322194.0086336,660,0.004657402933771634,1
1760322194.0710273,661,0.002972235662481247,1
1760322194.146562,662,0.0008722750978511495,1
1760322194.2078788,663,0.0008722750978511495,1
1760322194.2691364,664,0.00010182027848696512,1
1760322194.3307357,665,0.002795396533667359,1
1760322194.393648,666,0.0025230095052160492,1
1760322194.4585078,667,0.0025230095052160492,1
1760322194.5187788,668,0.00259005609303814,1
1760322194.5837355,669,0.0016723334168963072,1
1760322194.64405,670,0.0007305172279211819,1
1760322194.7043657,671,0.0069519358220793415,0
1760322194.769633,672,0.0069519358220793415,0
1760322194.8307033,673,9.96725558506939e-05,1
1760322194.8946016,674,0.0006217045717875971,1
1760322194.9595366,675,0.003374740876682457,1
1760322195.0211582,676,0.0029079242397625008,1
1760322195.0824928,677,0.0012181088989325836,1
1760322195.1468487,678,0.0012181088989325836,1
1760322195.2098656,679,0.014936316715743268,0
1760322195.2706885,680,0.0016368455247882246,1
1760322195.3333101,681,0.006375736783445565,0
1760322195.3955612,682,0.003124094788377156,1
1760322195.4589953,683,0.011171482911760497,0
1760322195.5226839,684,0.011171482911760497,0
1760322195.583279,685,0.005886696243457494,0
1760322195.6430655,686,0.005886696243457494,0
1760322195.7095988,687,0.0018416959524827983,1
1760322195.7717593,688,0.0018416959524827983,1
1760322195.832583,689,0.004307655145846356,1
1760322195.8948393,690,0.006688422189433524,0
1760322195.9562228,691,0.0018138249933208062,1
1760322196.034793,692,0.012047928017377786,0
1760322196.0962718,693,0.0007175123134387576,1
1760322196.1583838,694,0.0007175123134387576,1
1760322196.2221367,695,0.012118400511287028,0
1760322196.2829616,696,0.0009694216780882364,1
1760322196.3469086,697,0.002393513577747794,1
1760322196.409092,698,0.0016468076945974214,1
1760322196.4734476,699,0.0027593443560179204,1
1760322196.5352995,700,0.0027593443560179204,1
1760322196.5990262,701,0.00048457089714815105,1
1760322196.6594107,702,0.003464985263695021,1
1760322196.7208068,703,0.004335696263208073,1
1760322196.7829762,704,0.004335696263208073,1
1760322196.861646,705,0.0039030113842689965,1
1760322196.923033,706,0.0039030113842689965,1
1760322196.9876966,707,0.00012828666638261405,1
1760322197.0483775,708,0.00012828666638261405,1
1760322197.1094627,709,0.0044760536630033265,1
1760322197.1730664,710,0.004807360971514227,1
1760322197.2353787,711,0.0046741328730960305,1
1760322197.2989414,712,0.006398572051410409,0
1760322197.3621225,713,0.005075504028211067,0
1760322197.4232814,714,0.005075504028211067,0
1760322197.4850292,715,0.006295161166292633,0
1760322197.5471182,716,0.0025959703256202976,1
1760322197.6093159,717,0.002993195036347117,1
1760322197.6706731,718,0.007100570442986648,0
1760322197.7494345,719,0.004617101445350422,1
1760322197.8115246,720,0.004617101445350422,1
1760322197.8725574,721,0.0054042390699160225,0
1760322197.9347358,722,0.0033165713894478463,1
1760322197.997349,723,0.003227928870537307,1
1760322198.0587852,724,0.003227928870537307,1
1760322198.1231391,725,0.003227928870537307,1
1760322198.182925,726,0.00484619911319676,1
1760322198.2448418,727,0.0033318169557663493,1
1760322198.3095295,728,0.0064140923770825906,0
1760322198.3697698,729,0.0064140923770825906,0
1760322198.4315462,730,7.512085319516526e-05,1
1760322198.4930158,731,7.512085319516526e-05,1
1760322198.5575595,732,0.004196991168366734,1
1760322198.6181736,733,0.0025627601273007783,1
1760322198.6812315,734,0.005850350115252034,0
1760322198.7426088,735,0.005850350115252034,0
1760322198.804813,736,0.001661781991424284,1
1760322198.867146,737,0.001661781991424284,1
1760322198.9294102,738,0.002270398035645077,1
1760322198.9912214,739,0.002139406171844299,1
1760322199.0529993,740,0.003443265689309305,1
1760322199.1148036,741,0.003443265689309305,1
1760322199.1799247,742,0.005565454327462839,0
1760322199.241714,743,0.004603650280534423,1
1760322199.3033078,744,0.007298699475488793,0
1760322199.3671951,745,0.007298699475488793,0
1760322199.4272733,746,0.0035797611882210437,1
1760322199.4909813,747,0.0018674506470050395,1
1760322199.5527031,748,0.0037594588219152306,1
1760322199.615537,749,0.005705052206525431,0
1760322199.6789773,750,0.006044991058286792,0
1760322199.7549958,751,0.006044991058286792,0
1760322199.8169398,752,0.0016171408723034686,1
1760322199.8795817,753,0.005071077685257136,0
1760322199.9428623,754,0.008398271556875593,0
1760322200.0031102,755,0.00574149552376662,0
1760322200.0674882,756,0.007722491009004934,0
1760322200.129365,757,0.007722491009004934,0
1760322200.1917017,758,0.007590566730623527,0
1760322200.2530303,759,0.006729227399777493,0
1760322200.3153052,760,0.006523423534891215,0
1760322200.3753355,761,0.006523423534891215,0
1760322200.4383373,762,0.003264242727122925,1
1760322200.5014038,763,0.0005850602174443109,1
1760322200.7518203,767,0.00779935552786893,0
1760322200.8145738,768,0.007098407193263594,0
1760322200.8783438,769,0.00425896825535492,1
1760322200.9399176,770,0.005200020754863421,0
1760322201.0012567,771,0.005200020754863421,0
1760322201.06334,772,0.006138307694013467,0
1760322201.1263747,773,0.002583177000752508,1
1760322201.196676,774,0.0033478929221190876,1
1760322201.2672713,775,0.0024733168761642207,1
1760322201.329421,776,0.0008210513142795778,1
1760322201.391653,777,0.0008210513142795778,1
1760322201.452978,778,0.002905294751384832,1
1760322201.517621,779,0.003126092570945531,1
1760322201.5947638,780,0.00944805403153278,0
1760322201.6598115,781,0.00944805403153278,0
1760322201.7188518,782,0.00944805403153278,0
1760322201.7817316,783,0.006757560152509598,0
1760322201.8452146,784,0.00952283866766302,0
1760322201.9067395,785,0.008114063917593513,0
1760322201.9675922,786,0.008114063917593513,0
1760322202.029848,787,0.003608640149671223,1
1760322202.1105099,788,0.003608640149671223,1
1760322202.1688373,789,0.014346044055320917,0
1760322202.2334886,790,0.010528881465631836,0
1760322202.29531,791,0.0077132760137033525,0
1760322202.3574808,792,0.0077132760137033525,0
1760322202.418675,793,0.006459836346821048,0
1760322202.482284,794,0.006459836346821048,0
1760322202.5454645,795,0.01352111895545998,0
1760322202.6079173,796,0.015947896707844536,0
1760322202.6742988,797,0.019012872083924846,0
1760322202.7797837,798,0.019012872083924846,0
1760322202.8397691,799,0.020190487612372035,0
1760322202.9046278,800,0.020190487612372035,0
1760322202.9649506,801,0.021009411171850456,0
1760322203.0299711,802,0.019796901830092056,0
