time,frame,tip_plane_x_m,tip_plane_y_m,tip_plane_z_m,contact
1760316712.036659,89,-0.009117984151697428,0.13853305356319218,0.1140796177587699,0
1760316712.096686,90,0.00879113315262213,0.13085872827620498,0.11406605192536307,0
1760316712.1593437,91,0.01282987490896631,0.13050409883937755,0.10972095139016341,0
1760316712.2210355,92,0.034229182437004346,0.12617789845727012,0.09800309281946457,0
1760316714.7515626,132,0.09410537054819958,0.09645761470812841,0.059881048782896906,0
1760316714.817989,133,0.06188031537774488,0.0713659356039952,0.11424551954400752,0
1760316714.8837426,134,0.06401300487335798,0.06551916803941174,0.11569586159153725,0
1760316714.9490283,135,0.06211745949915182,0.07377555150125541,0.11587892273792627,0
1760316715.014692,136,0.066930637899281,0.07831104984024252,0.11095300564424651,0
1760316715.0946026,137,0.06562104401366584,0.08462469397050158,0.10764219617184473,0
1760316715.1512039,138,0.05744230897389282,0.08882413025933536,0.10840038190611939,0
1760316715.2084906,139,0.0666660668231237,0.08864056569712692,0.10359876703480922,0
1760316715.265508,140,0.07538002779989628,0.08920074284664928,0.09837292267666115,0
1760316715.3236582,141,0.07685673744045532,0.0882263811289472,0.09802494425924976,0
1760316715.381545,142,0.06878803825134153,0.09018302749115498,0.1019288272421669,0
1760316715.4397254,143,0.06689145736185756,0.09066648045024023,0.10197825037156946,0
1760316715.4974585,144,0.07457797597064098,0.08644900532054839,0.10033110969818085,0
1760316715.5552645,145,0.07447734660545893,0.08809100806847386,0.09895171547384865,0
1760316715.6134899,146,0.07638484478769611,0.09004812242829176,0.09707168332053509,0
1760316715.6717725,147,0.07585453228198406,0.08709474321285025,0.09920440161062533,0
1760316715.7306755,148,0.0766804452245737,0.08661963580684393,0.09939449007887233,0
1760316715.7903512,149,0.07401050747478904,0.09144263056720024,0.09853259847367357,0
1760316715.8505557,150,0.08504893642195437,0.09674410210764525,0.08132254473637102,0
1760316715.9096682,151,0.08734271579925715,0.09608618518373963,0.08017913637251209,0
1760316715.9682794,152,0.08334561767495403,0.08960605988361134,0.09334289857785,0
1760316716.0269911,153,0.08475686210522479,0.093345318739746,0.08843059822987881,0
1760316716.0863748,154,0.08497339637735163,0.09556404028674025,0.08671026564548423,0
1760316716.147739,155,0.07735022085766172,0.09227011519109415,0.09961714061561469,0
1760316716.2091722,156,0.08429227995475191,0.09580164310447951,0.08821939715187505,0
1760316716.2686436,157,0.07317610490739818,0.09511276268311099,0.10087230738192049,0
1760316716.3287146,158,0.08606238738837417,0.0969424765814028,0.08488136339219962,0
1760316716.3892846,159,0.08615056432200041,0.09829941372302137,0.08342007634233645,0
1760316716.4501762,160,0.08586820620388085,0.09653046219251883,0.08652628216269881,0
1760316716.5098395,161,0.07746463591131579,0.09300320846101127,0.10408085239767972,0
1760316716.569287,162,0.0848349488197329,0.10115199737092058,0.08522328777316504,0
1760316716.6278248,163,0.08773239754791516,0.10172396579555792,0.08101309881815658,0
1760316716.6865098,164,0.0853065102254537,0.10106050366901888,0.0849185135672208,0
1760316716.7442608,165,0.07759736640887002,0.09147489464564013,0.10408298184943246,0
1760316716.8023462,166,0.0781677268642928,0.0967599533181001,0.1003688466082499,0
1760316716.8601015,167,0.08569026632682147,0.09720077049773508,0.0894550750256343,0
1760316716.9185994,168,0.08557541450583167,0.09928867543240652,0.08626902448464072,0
1760316716.9774091,169,0.08851018762398571,0.10125240960500266,0.08125594336709213,0
1760316717.1501925,172,0.08537905132439122,0.10052490799265627,0.08470428777005529,0
1760316717.3237557,175,0.07737960882087672,0.10034223357664936,0.09965291991026803,0
1760316717.5559778,179,0.07950402384300215,0.10347900666808936,0.09704914513788776,0
1760316717.6134832,180,0.07568950719214747,0.09792529253223967,0.10473054705561444,0
1760316717.8442986,184,0.07984060677136216,0.09343781417289163,0.10817775666881513,0
1760316717.903163,185,0.07276639617356992,0.10663613257892814,0.10054500232896121,0
1760316717.9633477,186,0.07548955713110879,0.10229509068180037,0.10500214475361244,0
1760316718.0227306,187,0.07579165005338882,0.10263357789442741,0.1052662461057979,0
1760316718.0827444,188,0.0788331507350266,0.10470672755640426,0.10307513740748786,0
1760316718.1427062,189,0.08605176615080341,0.10970354529648939,0.09443940145574373,0
1760316718.2042642,190,0.08724458251937289,0.11045380979815027,0.09570037122684805,0
1760316718.2636597,191,0.08429840600227705,0.11470033421575758,0.10134033769477538,0
1760316718.3215528,192,0.08329036037664093,0.10998348085122255,0.11273882602951432,0
1760316718.381062,193,0.08156030319741421,0.12124287184687868,0.10982774560171274,0
1760316718.4403007,194,0.0844714136580203,0.1079691101740448,0.12363042787587503,0
1760316718.5002701,195,0.08571627209840225,0.11057668034990673,0.12118299271802888,0
1760316718.559653,196,0.09806099465262764,0.11920468462987556,0.1032486305346079,0
1760316718.61898,197,0.09897543590704971,0.12129466613216906,0.09686323531991403,0
1760316718.6797235,198,0.10311702711957105,0.11451246218980835,0.09598731489199683,0
1760316718.7388265,199,0.0997917127983588,0.11282802759394955,0.10278937333056265,0
1760316718.798887,200,0.09602864688905606,0.12445235453594004,0.10777669768436848,0
